PeakID	chr	start	end	strand	NormalizedTagCount	focusratio	findPeaksScore	FoldChangevsLocal	p-valuevsLocal	ClonalFoldChange
chr16-39	chr16	67198551	67198719	+	42.0	0.841	55.000000	14.10	9.89e-47	0.86
chr17-90	chr17	43422990	43423158	+	42.0	0.859	44.000000	34.43	6.48e-69	1.08
chr17-47	chr17	56415468	56415636	+	42.0	0.767	51.000000	15.07	2.41e-48	0.93
chr19-72	chr19	5091100	5091268	+	42.0	0.790	51.000000	15.14	1.89e-48	0.93
chr19-86	chr19	14474467	14474635	+	42.0	0.859	48.000000	29.02	1.33e-64	1.01
chr19-82	chr19	45927023	45927191	+	42.0	0.802	49.000000	16.03	7.39e-50	0.94
chr19-78	chr19	54372704	54372872	+	42.0	0.753	51.000000	14.16	7.90e-47	0.91
chr20-18	chr20	57226139	57226307	+	42.0	0.701	54.000000	20.53	5.92e-56	0.87
chr22-103	chr22	40725187	40725355	+	42.0	0.885	42.000000	41.31	1.53e-73	1.16
chr1-180	chr1	16767087	16767255	+	41.3	0.810	50.000000	21.58	2.89e-56	0.91
chr1-181	chr1	22379072	22379240	+	41.3	0.796	50.000000	16.76	3.99e-50	0.93
chr1-404	chr1	46624232	46624400	+	41.3	0.696	40.000000	19.51	8.41e-54	1.20
chr1-187	chr1	92912299	92912467	+	41.3	0.733	50.000000	32.88	1.17e-66	0.95
chr1-259	chr1	109076556	109076724	+	41.3	0.863	45.000000	33.85	2.23e-67	1.04
chr1-174	chr1	211803657	211803825	+	41.3	0.809	51.000000	19.18	2.16e-53	0.95
chr2-72	chr2	24149979	24150147	+	41.3	0.726	47.000000	20.31	8.75e-55	0.97
chr2-52	chr2	55277466	55277634	+	41.3	0.686	50.000000	14.51	1.17e-46	0.95
chr2-57	chr2	97304008	97304176	+	41.3	0.783	49.000000	21.31	5.82e-56	1.01
chr2-42	chr2	171785517	171785685	+	41.3	0.617	53.000000	17.44	4.41e-51	0.88
chr3-66	chr3	8671241	8671409	+	41.3	0.853	48.000000	34.53	7.17e-68	0.99
chr3-49	chr3	42641966	42642134	+	41.3	0.719	54.000000	17.80	1.41e-51	0.88
chr3-55	chr3	142166852	142167020	+	41.3	0.765	51.000000	37.94	3.20e-70	0.93
chr3-59	chr3	142803966	142804134	+	41.3	0.736	50.000000	31.39	1.68e-65	0.93
chr3-78	chr3	176915218	176915386	+	41.3	0.678	47.000000	13.38	9.76e-45	0.97
chr3-65	chr3	193378568	193378736	+	41.3	0.917	49.000000	26.56	2.29e-61	0.95
chr3-54	chr3	196669264	196669432	+	41.3	0.660	52.000000	19.18	2.16e-53	0.88
chr4-13	chr4	71859178	71859346	+	41.3	0.688	52.000000	15.28	6.75e-48	0.88
chr4-12	chr4	99916455	99916623	+	41.3	0.829	55.000000	23.65	1.65e-58	0.84
chr4-15	chr4	170541480	170541648	+	41.3	0.818	51.000000	23.81	1.12e-58	0.91
chr5-41	chr5	40756078	40756246	+	41.3	0.792	51.000000	23.81	1.12e-58	0.89
chr5-59	chr5	138897646	138897814	+	41.3	0.719	47.000000	35.60	1.25e-68	0.99
chr6-97	chr6	24667086	24667254	+	41.3	0.692	51.000000	17.09	1.34e-50	0.97
chr6-185	chr6	42059930	42060098	+	41.3	0.871	42.000000	25.20	4.49e-60	1.11
chr6-114	chr6	109703559	109703727	+	41.3	0.670	49.000000	14.15	4.59e-46	0.97
chr6-135	chr6	161676003	161676171	+	41.3	0.914	47.000000	25.39	2.97e-60	0.99
chr7-75	chr7	2143903	2144071	+	41.3	0.846	53.000000	15.41	4.13e-48	0.89
chr7-90	chr7	10980128	10980296	+	41.3	0.784	50.000000	33.20	6.79e-67	0.91
chr7-88	chr7	150725809	150725977	+	41.3	0.767	51.000000	14.69	5.81e-47	0.93
chr7-89	chr7	155102337	155102505	+	41.3	0.835	51.000000	16.21	2.55e-49	0.91
chr8-28	chr8	42911245	42911413	+	41.3	0.765	51.000000	23.02	7.60e-58	0.89
chr9-76	chr9	73100300	73100468	+	41.3	0.943	46.000000	34.19	1.27e-67	0.99
chr9-45	chr9	96928949	96929117	+	41.3	0.642	55.000000	14.76	4.60e-47	0.89
chr10-64	chr10	60144978	60145146	+	41.3	0.620	46.000000	23.49	2.43e-58	1.01
chr10-45	chr10	72972115	72972283	+	41.3	0.731	50.000000	13.92	1.12e-45	0.93
chr11-42	chr11	69794725	69794893	+	41.3	0.889	53.000000	22.87	1.11e-57	0.89
chr12-40	chr12	46777196	46777364	+	41.3	0.701	49.000000	18.56	1.35e-52	0.99
chr13-6	chr13	28982736	28982904	+	41.3	0.958	49.000000	47.96	4.39e-76	0.99
chr15-22	chr15	52311233	52311401	+	41.3	0.679	53.000000	17.80	1.41e-51	0.88
chr15-28	chr15	66161684	66161852	+	41.3	0.744	50.000000	22.57	2.32e-57	0.91
chr16-66	chr16	67515027	67515195	+	41.3	0.783	47.000000	27.40	3.87e-62	0.99
chr17-56	chr17	3819769	3819937	+	41.3	0.857	48.000000	19.96	2.33e-54	0.99
chr17-48	chr17	56065884	56066052	+	41.3	0.831	50.000000	18.66	9.98e-53	0.91
chr21-18	chr21	45209244	45209412	+	41.3	0.552	52.000000	16.44	1.16e-49	0.89
chr22-78	chr22	17082009	17082177	+	41.3	0.792	52.000000	14.69	5.81e-47	0.91
chrX-16	chrX	129313687	129313855	+	41.3	0.887	46.000000	58.52	4.32e-81	1.01
chr1-230	chr1	12589507	12589675	+	40.6	0.851	46.000000	19.07	2.24e-52	1.04
chr1-184	chr1	44173032	44173200	+	40.6	0.640	50.000000	13.31	6.98e-44	0.90
chr1-203	chr1	52831749	52831917	+	40.6	0.678	49.000000	14.89	1.67e-46	0.95
chr1-144	chr1	110036623	110036791	+	40.6	0.734	53.000000	19.07	2.24e-52	0.88
chr1-264	chr1	120279946	120280114	+	40.6	0.785	45.000000	24.25	3.78e-58	1.00
chr1-226	chr1	144533860	144534028	+	40.6	0.602	47.000000	16.24	1.47e-48	0.97
chr1-161	chr1	171750364	171750532	+	40.6	0.772	52.000000	20.95	1.24e-54	0.88
chr1-146	chr1	223900097	223900265	+	40.6	0.747	53.000000	18.55	1.03e-51	0.86
chr2-66	chr2	145340469	145340637	+	40.6	0.768	48.000000	16.09	2.47e-48	0.97
chr3-57	chr3	5229217	5229385	+	40.6	0.596	50.000000	14.51	6.79e-46	0.92
chr3-68	chr3	31533299	31533467	+	40.6	0.881	48.000000	34.99	4.45e-67	1.00
chr4-22	chr4	6734454	6734622	+	40.6	0.910	47.000000	20.20	9.26e-54	0.95
chr4-17	chr4	25314213	25314381	+	40.6	0.721	49.000000	30.58	8.76e-64	0.95
chr5-86	chr5	148836443	148836611	+	40.6	0.884	42.000000	25.14	4.99e-59	1.07
chr6-91	chr6	30312950	30313118	+	40.6	0.737	52.000000	16.97	1.33e-49	0.90
chr6-150	chr6	36922072	36922240	+	40.6	0.886	45.000000	24.60	1.70e-58	1.00
chr6-86	chr6	36954036	36954204	+	40.6	0.649	53.000000	14.95	1.31e-46	0.88
chr7-134	chr7	25535069	25535237	+	40.6	0.821	45.000000	34.29	1.41e-66	1.04
chr7-92	chr7	128095745	128095913	+	40.6	0.831	50.000000	19.29	1.20e-52	0.92
chr7-112	chr7	138794118	138794286	+	40.6	0.648	48.000000	13.11	1.61e-43	0.97
chr8-342	chr8	46852403	46852571	+	40.6	0.983	24.000000	77.15	1.31e-86	1.87
chr8-42	chr8	130594447	130594615	+	40.6	0.759	47.000000	21.35	4.42e-55	1.00
chr10-29	chr10	73533293	73533461	+	40.6	0.686	54.000000	20.09	1.28e-53	0.86
chr11-41	chr11	66610866	66611034	+	40.6	0.710	53.000000	14.38	1.08e-45	0.86
chr12-46	chr12	122125022	122125190	+	40.6	0.789	48.000000	40.90	6.68e-71	0.93
chr15-33	chr15	49913049	49913217	+	40.6	0.686	49.000000	30.86	5.27e-64	0.95
chr18-17	chr18	19180632	19180800	+	40.6	0.613	51.000000	18.15	3.36e-51	0.88
chr19-62	chr19	10410332	10410500	+	40.6	0.862	55.000000	22.94	8.31e-57	0.83
chr21-17	chr21	34852480	34852648	+	40.6	0.795	53.000000	15.43	2.40e-47	0.86
chrX-20	chrX	115004626	115004794	+	40.6	0.774	43.000000	29.78	3.91e-63	1.12
chr1-231	chr1	15110610	15110778	+	39.9	0.796	46.000000	17.74	8.15e-50	1.03
chr1-220	chr1	24127320	24127488	+	39.9	0.753	47.000000	12.88	2.11e-42	0.98
chr1-166	chr1	26758598	26758766	+	39.9	0.685	51.000000	28.03	1.24e-60	0.86
chr1-284	chr1	29359552	29359720	+	39.9	0.941	44.000000	32.08	7.36e-64	1.05
chr1-210	chr1	36929962	36930130	+	39.9	0.818	48.000000	22.69	1.32e-55	0.92
chr1-185	chr1	45075879	45076047	+	39.9	0.840	50.000000	28.03	1.24e-60	0.94
chr1-189	chr1	154193140	154193308	+	39.9	0.649	50.000000	17.93	4.58e-50	0.88
chr1-214	chr1	173991603	173991771	+	39.9	0.691	48.000000	16.93	1.01e-48	0.92
chr1-316	chr1	200123429	200123597	+	39.9	0.803	43.000000	33.03	1.46e-64	1.05
chr1-269	chr1	203281019	203281187	+	39.9	0.825	45.000000	30.60	9.84e-63	1.00
chr1-162	chr1	227751512	227751680	+	39.9	0.837	52.000000	24.00	6.21e-57	0.85
chr2-62	chr2	28578516	28578684	+	39.9	0.915	48.000000	17.65	1.08e-49	0.96
chr2-84	chr2	68348309	68348477	+	39.9	0.756	45.000000	30.05	2.68e-62	1.00
chr2-78	chr2	134876086	134876254	+	39.9	0.786	46.000000	19.28	9.16e-52	0.98
chr2-68	chr2	170870473	170870641	+	39.9	0.868	48.000000	26.06	6.79e-59	0.94
chr2-55	chr2	171829984	171830152	+	39.9	0.742	50.000000	17.20	4.41e-49	0.90
chr3-60	chr3	9975415	9975583	+	39.9	0.771	49.000000	15.30	2.28e-46	0.92
chr3-89	chr3	15140577	15140745	+	39.9	0.710	45.000000	21.80	1.17e-54	1.05
chr3-62	chr3	38388162	38388330	+	39.9	0.807	49.000000	25.27	3.67e-58	0.92
chr3-63	chr3	44481399	44481567	+	39.9	0.905	49.000000	26.69	1.85e-59	0.92
chr3-58	chr3	53381612	53381780	+	39.9	0.719	50.000000	30.89	5.92e-63	0.92
chr5-422	chr5	49450541	49450709	+	39.9	0.983	24.000000	111.20	4.24e-94	1.84
chr5-48	chr5	67730046	67730214	+	39.9	0.912	49.000000	27.34	4.87e-60	0.92
chr5-33	chr5	140998744	140998912	+	39.9	0.762	54.000000	20.34	5.07e-53	0.90
chr5-36	chr5	154062468	154062636	+	39.9	0.701	53.000000	26.48	2.86e-59	0.85
chr6-108	chr6	30840422	30840590	+	39.9	0.922	49.000000	28.51	4.87e-61	0.90
chr6-94	chr6	34191833	34192001	+	39.9	0.638	52.000000	15.44	1.39e-46	0.85
chr6-116	chr6	143832773	143832941	+	39.9	0.667	49.000000	19.98	1.35e-52	0.92
chr6-105	chr6	160148005	160148173	+	39.9	0.701	50.000000	13.03	1.14e-42	0.90
chr7-154	chr7	1687995	1688163	+	39.9	0.848	43.000000	21.80	1.17e-54	1.05
chr7-85	chr7	50237250	50237418	+	39.9	0.899	51.000000	52.12	1.38e-75	0.90
chr7-82	chr7	72992826	72992994	+	39.9	0.660	52.000000	14.70	1.96e-45	0.85
chr7-86	chr7	100609505	100609673	+	39.9	0.844	51.000000	19.74	2.58e-52	0.90
chr8-50	chr8	135732421	135732589	+	39.9	0.813	44.000000	30.89	5.92e-63	1.05
chr9-71	chr9	116172942	116173110	+	39.9	0.829	47.000000	26.90	1.19e-59	0.94
chr9-67	chr9	132008953	132009121	+	39.9	0.857	48.000000	32.08	7.36e-64	0.94
chr10-56	chr10	11940568	11940736	+	39.9	0.762	48.000000	12.98	1.40e-42	0.94
chr10-66	chr10	73975720	73975888	+	39.9	0.756	46.000000	20.34	5.07e-53	0.98
chr10-38	chr10	97291878	97292046	+	39.9	0.840	52.000000	34.39	1.56e-65	0.86
chr11-44	chr11	47429872	47430040	+	39.9	0.638	52.000000	17.84	6.11e-50	0.85
chr11-54	chr11	68671245	68671413	+	39.9	0.783	49.000000	28.03	1.24e-60	0.92
chr16-45	chr16	4524539	4524707	+	39.9	0.812	53.000000	17.84	6.11e-50	0.85
chr16-65	chr16	28874675	28874843	+	39.9	0.844	47.000000	21.95	8.15e-55	0.94
chr17-50	chr17	17991074	17991242	+	39.9	0.871	49.000000	57.51	5.49e-78	0.92
chr17-60	chr17	33887820	33887988	+	39.9	0.882	48.000000	35.11	4.92e-66	0.96
chr18-19	chr18	2854208	2854376	+	39.9	0.732	47.000000	23.49	1.99e-56	0.98
chr18-16	chr18	6683231	6683399	+	39.9	0.831	51.000000	21.95	8.15e-55	0.88
chr19-95	chr19	2950038	2950206	+	39.9	0.674	46.000000	17.37	2.53e-49	0.98
chr19-71	chr19	3520602	3520770	+	39.9	0.738	51.000000	16.19	1.10e-47	0.88
chr19-87	chr19	15543558	15543726	+	39.9	0.813	48.000000	25.46	2.42e-58	0.92
chr20-19	chr20	34542432	34542600	+	39.9	0.561	53.000000	17.28	3.34e-49	0.85
chr21-19	chr21	47706126	47706294	+	39.9	0.685	51.000000	18.64	5.78e-51	0.86
chr22-92	chr22	39679647	39679815	+	39.9	0.761	47.000000	27.12	7.62e-60	0.96
chr1-148	chr1	11741136	11741304	+	39.2	0.641	52.000000	15.83	2.31e-46	0.85
chr1-329	chr1	26396991	26397159	+	39.2	0.779	42.000000	21.85	8.82e-54	1.06
chr1-126	chr1	36234987	36235155	+	39.2	0.755	55.000000	14.13	9.00e-44	0.82
chr1-201	chr1	36689750	36689918	+	39.2	0.767	49.000000	15.24	1.69e-45	0.88
chr1-167	chr1	39456799	39456967	+	39.2	0.690	51.000000	26.22	4.94e-58	0.85
chr1-290	chr1	90011223	90011391	+	39.2	0.803	44.000000	28.50	5.48e-60	0.99
chr1-145	chr1	193090858	193091026	+	39.2	0.697	53.000000	15.83	2.31e-46	0.82
chr1-506	chr1	223976775	223976943	+	39.2	0.881	38.000000	27.77	2.20e-59	1.17
chr1-194	chr1	226496853	226497021	+	39.2	0.566	50.000000	13.27	2.34e-42	0.88
chr1-206	chr1	228528725	228528893	+	39.2	0.756	49.000000	13.83	2.73e-43	0.92
chr2-51	chr2	10183439	10183607	+	39.2	0.826	50.000000	14.76	9.03e-45	0.87
chr2-71	chr2	11884305	11884473	+	39.2	0.891	47.000000	14.37	3.64e-44	0.92
chr2-76	chr2	74426259	74426427	+	39.2	0.792	46.000000	17.91	3.48e-49	0.94
chr2-46	chr2	127431735	127431903	+	39.2	0.956	52.000000	24.46	2.08e-56	0.85
chr2-48	chr2	167232618	167232786	+	39.2	0.644	52.000000	17.16	3.34e-48	0.85
chr3-82	chr3	4575548	4575716	+	39.2	0.907	46.000000	22.29	2.99e-54	0.99
chr3-47	chr3	4910103	4910271	+	39.2	0.673	54.000000	16.47	2.91e-47	0.82
chr3-85	chr3	19988394	19988562	+	39.2	0.755	46.000000	16.64	1.71e-47	0.94
chr3-118	chr3	46550704	46550872	+	39.2	0.884	41.000000	23.41	2.19e-55	1.11
chr4-28	chr4	99701347	99701515	+	39.2	0.865	45.000000	48.92	8.90e-73	0.99
chr5-60	chr5	71893539	71893707	+	39.2	0.867	46.000000	38.11	7.63e-67	0.96
chr5-63	chr5	150479821	150479989	+	39.2	0.887	46.000000	28.75	3.41e-60	0.96
chr5-53	chr5	173282679	173282847	+	39.2	0.954	49.000000	18.62	4.40e-50	0.94
chr6-109	chr6	33359181	33359349	+	39.2	0.645	49.000000	16.64	1.71e-47	0.90
chr6-115	chr6	135375944	135376112	+	39.2	0.803	49.000000	28.75	3.41e-60	0.90
chr6-104	chr6	157008397	157008565	+	39.2	0.656	50.000000	20.61	1.98e-52	0.90
chr6-176	chr6	157814351	157814519	+	39.2	0.823	43.000000	25.02	6.17e-57	1.01
chr7-166	chr7	21466761	21466929	+	39.2	0.700	42.000000	19.62	2.71e-51	1.03
chr7-106	chr7	72971466	72971634	+	39.2	0.744	48.000000	16.14	8.28e-47	0.90
chr7-121	chr7	86849022	86849190	+	39.2	0.768	46.000000	25.60	1.77e-57	0.94
chr7-114	chr7	156686043	156686211	+	39.2	0.861	48.000000	17.16	3.34e-48	0.96
chr8-34	chr8	38795976	38796144	+	39.2	0.767	48.000000	22.60	1.44e-54	0.94
chr8-24	chr8	99956501	99956669	+	39.2	0.663	53.000000	17.91	3.48e-49	0.83
chr8-43	chr8	124179819	124179987	+	39.2	0.817	46.000000	20.87	1.01e-52	0.94
chr9-60	chr9	139622642	139622810	+	39.2	0.744	51.000000	13.89	2.19e-43	0.85
chr10-65	chr10	70091656	70091824	+	39.2	0.813	46.000000	13.54	8.09e-43	0.99
chr10-72	chr10	70167000	70167168	+	39.2	0.674	44.000000	15.46	8.08e-46	0.99
chr10-26	chr10	99447120	99447288	+	39.2	0.765	55.000000	29.79	4.94e-61	0.83
chr10-34	chr10	135207683	135207851	+	39.2	0.711	53.000000	21.01	7.17e-53	0.82
chr11-49	chr11	18415916	18416084	+	39.2	0.745	51.000000	16.31	4.92e-47	0.90
chr11-55	chr11	85358922	85359090	+	39.2	0.882	49.000000	30.63	1.10e-61	0.90
chr12-41	chr12	49412556	49412724	+	39.2	0.788	49.000000	19.51	3.72e-51	0.90
chr12-35	chr12	52311664	52311832	+	39.2	0.851	51.000000	20.87	1.01e-52	0.87
chr15-38	chr15	75246924	75247092	+	39.2	0.806	47.000000	16.31	4.92e-47	0.94
chr15-41	chr15	75660905	75661073	+	39.2	0.759	46.000000	22.00	6.17e-54	0.94
chr15-36	chr15	90358335	90358503	+	39.2	0.769	48.000000	24.83	9.28e-57	0.90
chr15-37	chr15	96816896	96817064	+	39.2	0.674	48.000000	29.79	4.94e-61	0.92
chr17-57	chr17	8059689	8059857	+	39.2	0.815	48.000000	13.11	4.37e-42	0.90
chr17-68	chr17	45266832	45267000	+	39.2	0.836	47.000000	20.23	5.37e-52	0.92
chr17-73	chr17	80023653	80023821	+	39.2	0.877	47.000000	20.61	1.98e-52	0.94
chr19-73	chr19	8305308	8305476	+	39.2	0.957	51.000000	39.02	2.11e-67	0.90
chr20-36	chr20	29611544	29611712	+	39.2	0.877	43.000000	44.89	9.81e-71	1.01
chr20-43	chr20	42639024	42639192	+	39.2	0.921	41.000000	42.02	3.68e-69	1.08
chr22-82	chr22	18121425	18121593	+	39.2	0.822	50.000000	21.85	8.82e-54	0.94
chr1-179	chr1	12289962	12290130	+	38.5	0.756	50.000000	20.90	7.67e-52	0.91
chr1-200	chr1	24306837	24307005	+	38.5	0.641	49.000000	16.17	4.79e-46	0.87
chr1-186	chr1	46598598	46598766	+	38.5	0.634	50.000000	16.26	3.69e-46	0.89
chr1-225	chr1	53685907	53686075	+	38.5	0.709	47.000000	21.18	3.86e-52	0.93
chr1-312	chr1	118155250	118155418	+	38.5	0.747	43.000000	12.93	4.68e-41	1.01
chr1-1271	chr1	228771265	228771433	+	38.5	0.932	25.000000	402.35	2.01e-121	1.70
chr2-70	chr2	10575095	10575263	+	38.5	0.833	47.000000	17.88	2.64e-48	0.93
chr2-58	chr2	172290570	172290738	+	38.5	0.648	49.000000	13.93	1.02e-42	0.87
chr2-103	chr2	198794092	198794260	+	38.5	0.864	44.000000	36.17	1.82e-64	0.97
chr3-83	chr3	14443853	14444021	+	38.5	0.722	46.000000	14.43	1.68e-43	0.95
chr3-75	chr3	32147957	32148125	+	38.5	0.701	47.000000	22.99	5.13e-54	0.93
chr3-69	chr3	47422943	47423111	+	38.5	0.750	48.000000	13.08	2.53e-41	0.91
chr4-39	chr4	175603044	175603212	+	38.5	0.835	43.000000	36.17	1.82e-64	1.04
chr5-39	chr5	41904328	41904496	+	38.5	0.736	52.000000	23.49	1.64e-54	0.85
chr5-64	chr5	78531820	78531988	+	38.5	0.839	45.000000	17.21	1.91e-47	0.97
chr5-50	chr5	137673906	137674074	+	38.5	0.849	49.000000	23.67	1.11e-54	0.87
chr5-52	chr5	172192282	172192450	+	38.5	0.803	49.000000	31.87	1.57e-61	0.89
chr5-77	chr5	176831484	176831652	+	38.5	0.727	44.000000	13.30	1.10e-41	1.01
chr6-226	chr6	84979881	84980049	+	38.5	0.899	40.000000	31.87	1.57e-61	1.07
chr6-99	chr6	119645990	119646158	+	38.5	0.892	51.000000	31.56	2.65e-61	0.84
chr6-230	chr6	136558077	136558245	+	38.5	0.923	40.000000	22.35	2.26e-53	1.09
chr7-78	chr7	77428019	77428187	+	38.5	0.798	53.000000	14.31	2.66e-43	0.82
chr7-109	chr7	100399851	100400019	+	38.5	0.701	48.000000	13.99	8.18e-43	0.89
chr9-222	chr9	44877908	44878076	+	38.5	0.966	31.000000	26.60	2.32e-57	1.42
chr9-72	chr9	127703293	127703461	+	38.5	0.659	47.000000	23.84	7.55e-55	0.93
chr9-57	chr9	131486560	131486728	+	38.5	0.674	52.000000	14.83	4.15e-44	0.85
chr9-58	chr9	132222744	132222912	+	38.5	0.782	52.000000	19.75	1.50e-50	0.87
chr10-48	chr10	32734964	32735132	+	38.5	0.731	49.000000	32.19	9.21e-62	0.89
chr10-44	chr10	65389906	65390074	+	38.5	0.805	50.000000	17.88	2.64e-48	0.87
chr10-46	chr10	94831638	94831806	+	38.5	0.798	50.000000	18.29	8.21e-49	0.89
chr11-57	chr11	518867	519035	+	38.5	0.701	47.000000	31.25	4.45e-61	0.93
chr11-67	chr11	32913994	32914162	+	38.5	0.831	45.000000	18.39	6.10e-49	0.99
chr12-51	chr12	49454608	49454776	+	38.5	0.753	47.000000	15.63	2.85e-45	0.95
chr12-63	chr12	53399925	53400093	+	38.5	0.729	44.000000	19.39	3.89e-50	0.99
chr12-34	chr12	122326543	122326711	+	38.5	0.835	52.000000	22.20	3.25e-53	0.87
chr14-8	chr14	74353405	74353573	+	38.5	0.810	49.000000	32.84	3.14e-62	0.87
chr15-24	chr15	43477440	43477608	+	38.5	0.674	51.000000	24.57	1.54e-55	0.85
chr15-48	chr15	51939419	51939587	+	38.5	0.833	43.000000	33.18	1.81e-62	1.01
chr16-43	chr16	1756037	1756205	+	38.5	0.645	53.000000	14.63	8.39e-44	0.85
chr16-54	chr16	68002560	68002728	+	38.5	0.732	51.000000	13.41	7.19e-42	0.84
chr17-44	chr17	1633618	1633786	+	38.5	0.827	52.000000	23.67	1.11e-54	0.84
chr19-91	chr19	38807831	38807999	+	38.5	0.859	47.000000	16.51	1.68e-46	0.91
chr21-25	chr21	37692416	37692584	+	38.5	0.636	45.000000	14.56	1.06e-43	0.95
chrX-18	chrX	38512484	38512652	+	38.5	0.894	45.000000	51.09	1.58e-72	0.95
chr1-395	chr1	11902408	11902576	+	37.8	0.729	40.000000	15.88	7.76e-45	1.05
chr1-199	chr1	22778236	22778404	+	37.8	0.829	49.000000	20.00	5.99e-50	0.89
chr1-252	chr1	32538599	32538767	+	37.8	0.647	45.000000	15.80	1.00e-44	0.93
chr1-258	chr1	52344232	52344400	+	37.8	0.808	45.000000	19.75	1.14e-49	0.95
chr1-171	chr1	84972281	84972449	+	37.8	0.883	51.000000	19.39	2.96e-49	0.87
chr1-175	chr1	220219779	220219947	+	37.8	0.750	51.000000	20.79	8.19e-51	0.84
chr1-246	chr1	234509271	234509439	+	37.8	0.786	46.000000	21.07	4.14e-51	0.93
chr1-298	chr1	234735605	234735773	+	37.8	0.720	44.000000	13.39	4.17e-41	0.95
chr2-140	chr2	32390760	32390928	+	37.8	0.822	40.000000	25.49	2.20e-55	1.05
chr2-112	chr2	172017610	172017778	+	37.8	0.779	43.000000	13.22	7.84e-41	0.97
chr2-102	chr2	191884987	191885155	+	37.8	0.842	44.000000	33.98	6.63e-62	1.00
chr3-73	chr3	155572316	155572484	+	37.8	0.840	48.000000	21.50	1.46e-51	0.91
chr4-23	chr4	2845045	2845213	+	37.8	0.653	46.000000	19.75	1.14e-49	0.93
chr5-46	chr5	111496382	111496550	+	37.8	0.747	50.000000	34.73	2.12e-62	0.84
chr5-57	chr5	131132679	131132847	+	37.8	0.711	47.000000	17.56	4.73e-47	0.95
chr5-43	chr5	139554540	139554708	+	37.8	0.732	51.000000	20.66	1.15e-50	0.82
chr6-100	chr6	14211284	14211452	+	37.8	0.653	50.000000	16.72	5.67e-46	0.85
chr6-133	chr6	136610993	136611161	+	37.8	0.761	47.000000	13.17	9.65e-41	0.93
chr7-111	chr7	129710068	129710236	+	37.8	0.906	48.000000	22.57	1.18e-52	0.87
chr9-77	chr9	100174099	100174267	+	37.8	0.829	46.000000	29.26	1.66e-58	0.97
chr9-64	chr9	132597475	132597643	+	37.8	0.660	49.000000	14.17	2.43e-42	0.85
chr10-61	chr10	52310220	52310388	+	37.8	0.787	47.000000	25.08	5.05e-55	0.89
chr10-54	chr10	75255370	75255538	+	37.8	0.792	49.000000	19.27	4.05e-49	0.89
chr10-63	chr10	75571469	75571637	+	37.8	0.605	47.000000	13.74	1.15e-41	0.93
chr11-61	chr11	3253154	3253322	+	37.8	0.868	46.000000	20.66	1.15e-50	0.95
chr11-622	chr11	51573290	51573458	+	37.8	0.875	22.000000	13.56	2.20e-41	1.99
chr12-65	chr12	56583381	56583549	+	37.8	0.750	44.000000	22.10	3.53e-52	0.95
chr12-44	chr12	58146134	58146302	+	37.8	0.613	48.000000	13.28	6.35e-41	0.89
chr15-32	chr15	42066602	42066770	+	37.8	0.729	49.000000	22.74	8.15e-53	0.87
chr15-25	chr15	59225772	59225940	+	37.8	0.724	51.000000	18.92	1.03e-48	0.84
chr15-39	chr15	76196126	76196294	+	37.8	0.685	47.000000	20.26	3.11e-50	0.95
chr15-35	chr15	78591945	78592113	+	37.8	0.783	48.000000	21.65	1.03e-51	0.93
chr16-64	chr16	2653239	2653407	+	37.8	0.747	47.000000	30.10	3.80e-59	0.91
chr17-86	chr17	25620960	25621128	+	37.8	0.753	44.000000	24.50	1.71e-54	0.95
chr17-61	chr17	38255292	38255460	+	37.8	0.713	48.000000	13.51	2.72e-41	0.91
chr17-140	chr17	67043592	67043760	+	37.8	0.950	39.000000	35.51	6.60e-63	1.07
chr18-24	chr18	43733317	43733485	+	37.8	0.816	46.000000	41.04	3.24e-66	0.91
chr19-121	chr19	9186377	9186545	+	37.8	0.922	43.000000	70.23	1.38e-78	0.97
chr19-125	chr19	18654946	18655114	+	37.8	0.891	43.000000	22.10	3.53e-52	0.97
chr19-79	chr19	59031069	59031237	+	37.8	0.663	51.000000	18.16	8.38e-48	0.87
chr20-24	chr20	31063208	31063376	+	37.8	0.725	48.000000	13.01	1.80e-40	0.89
chrX-13	chrX	48794393	48794561	+	37.8	0.838	50.000000	24.50	1.71e-54	0.84
chr1-238	chr1	46216288	46216456	+	37.1	0.625	46.000000	15.36	2.59e-43	0.91
chr1-287	chr1	53662329	53662497	+	37.1	0.756	44.000000	19.76	8.71e-49	0.96
chr1-339	chr1	93811226	93811394	+	37.1	0.773	42.000000	21.69	7.80e-51	1.00
chr1-213	chr1	109505872	109506040	+	37.1	0.604	48.000000	18.35	3.53e-47	0.89
chr1-263	chr1	117909363	117909531	+	37.1	0.750	45.000000	13.60	1.03e-40	0.91
chr1-188	chr1	153539071	153539239	+	37.1	0.729	50.000000	22.31	1.85e-51	0.82
chr1-205	chr1	155881091	155881259	+	37.1	0.831	49.000000	30.11	4.27e-58	0.86
chr1-173	chr1	180471948	180472116	+	37.1	0.631	51.000000	13.85	4.30e-41	0.84
chr1-218	chr1	229644074	229644242	+	37.1	0.686	48.000000	22.64	8.90e-52	0.87
chr1-271	chr1	231376883	231377051	+	37.1	0.819	45.000000	29.26	1.86e-57	0.93
chr2-119	chr2	55367748	55367916	+	37.1	0.902	42.000000	26.07	6.89e-55	1.00
chr2-177	chr2	169868816	169868984	+	37.1	0.873	38.000000	40.28	1.33e-64	1.08
